rt,responses,questionId,trial_type,trial_index,time_elapsed,internal_node_id,subjectId,group,view_history,stimulus,button_pressed,id,type,shape,phrase,condition
4240,NA,,html-button-delay-response,23,195455,0.0-23.0,aj18hdpnxp,control,,<div class='container'><div class='ball'><div class='redline'></div> <div class='dot7'></div><div class='dot8'></div><div class='dot5'></div><div class='dot6'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,1,testing.24,testing,None of the green circles,moves from red upward.,none_true_universal
3659,NA,,html-button-delay-response,24,199615,0.0-24.0,aj18hdpnxp,control,,<div class='container'><div class='ball'><div class='redline'></div> <div class='dot1a'></div><div class='dot2a'></div><div class='dot3b'></div><div class='dot4b'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,1,testing.23,testing,None of the green circles,moves from red upward.,none_true_no_projection
3711,NA,,html-button-delay-response,25,203828,0.0-25.0,aj18hdpnxp,control,,<div class='container'><div class='ball'><div class='redline'></div> <div class='wug1b'></div><div class='wug2b'></div><div class='wug3b'></div><div class='wug4b'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.17,testing,Every green circle,moves from red upward.,all_true_existential
54215,['wugging had to do with the direction of the movement'],self_report,survey-multi-select,26,258548,0.0-26.0,aj18hdpnxp,control,,,,,,,,
35532,none,demo.1,survey-dropdown,27,294085,0.0-27.0,aj18hdpnxp,control,,,,,,,,
35532,none,demo.2,survey-dropdown,27,294085,0.0-27.0,aj18hdpnxp,control,,,,,,,,
35532,male,demo.3,survey-dropdown,27,294085,0.0-27.0,aj18hdpnxp,control,,,,,,,,
35532,12-24,demo.4,survey-dropdown,27,294085,0.0-27.0,aj18hdpnxp,control,,,,,,,,
33579,5c8d2e3c48ce250014822cc4,ProlificID,survey-text,0,33589,0.0-0.0,l0pk7plhyl,wug=red,,,,,,,,
14310,NA,instructions,instructions,1,47903,0.0-1.0,l0pk7plhyl,wug=red,"[{""page_index"":0,""viewing_time"":14306}]",,,,,,,
12578,NA,,html-button-delay-response,2,60492,0.0-2.0,l0pk7plhyl,wug=red,,<div class='container'><div class='ball'><div class='redline'></div> <div class='wug3'></div></div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,teaching.3,teaching,The green circle,,
