rt,responses,questionId,trial_type,trial_index,time_elapsed,internal_node_id,subjectId,group,view_history,stimulus,button_pressed,id,type,shape,phrase,condition
2636,NA,,html-button-delay-response,22,104752,0.0-22.0,swk4u5wrkv,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='wug1b'></div><div class='wug2b'></div><div class='dot3b'></div><div class='wug4b'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.17,testing,Every green circle,wugs.,all_true_existential
2635,NA,,html-button-delay-response,23,107890,0.0-23.0,swk4u5wrkv,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='dot7'></div><div class='dot8'></div><div class='dot5'></div><div class='dot6'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.20,testing,Every green circles,wugs.,all_true_no_projection
2985,NA,,html-button-delay-response,24,111376,0.0-24.0,swk4u5wrkv,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='dot1a'></div><div class='dot2a'></div><div class='dot3b'></div><div class='dot4b'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.19,testing,None of the green circles,wugs.,none_true_no_projection
2789,NA,,html-button-delay-response,25,114666,0.0-25.0,swk4u5wrkv,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='wug1a'></div><div class='dot2a'></div><div class='wug3a'></div><div class='wug4a'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.18,testing,None of the green circles,wugs.,none_true_existential
2664,NA,,html-button-delay-response,26,117832,0.0-26.0,swk4u5wrkv,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='wug1a'></div><div class='wug2a'></div><div class='wug3a'></div><div class='wug4a'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.15,testing,None of the green circles,wugs.,none_true_universal
21360,1ug,demo.1,survey-dropdown,27,139695,0.0-27.0,swk4u5wrkv,no training,,,,,,,,
21360,none,demo.2,survey-dropdown,27,139695,0.0-27.0,swk4u5wrkv,no training,,,,,,,,
21360,male,demo.3,survey-dropdown,27,139695,0.0-27.0,swk4u5wrkv,no training,,,,,,,,
21360,12-24,demo.4,survey-dropdown,27,139695,0.0-27.0,swk4u5wrkv,no training,,,,,,,,
10991,5ec1612e45a53657f2a937cc,ProlificID,survey-text,0,10995,0.0-0.0,80r5f2wr3j,no training,,,,,,,,
5454,NA,instructions,instructions,1,16451,0.0-1.0,80r5f2wr3j,no training,"[{""page_index"":0,""viewing_time"":5452}]",,,,,,,
12386,NA,,html-button-delay-response,2,28842,0.0-2.0,80r5f2wr3j,no training,,<div class='container'><div class='ball_test'><div class='redline'></div> <div class='wug1'></div></div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,teaching.1,teaching,The green circle,,
7807,NA,,html-button-delay-response,3,37150,0.0-3.0,80r5f2wr3j,no training,,<div class='container'><div class='ball_test'><div class='redline'></div> <div class='wug2'></div></div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,teaching.2,teaching,The green circle,,
5703,NA,,html-button-delay-response,4,43358,0.0-4.0,80r5f2wr3j,no training,,<div class='container'><div class='ball_test'><div class='redline'></div> <div class='wug4'></div></div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,teaching.4,teaching,The green circle,,
4919,NA,,html-button-delay-response,5,48781,0.0-5.0,80r5f2wr3j,no training,,<div class='container'><div class='ball_test'><div class='redline'></div> <div class='wug3'></div></div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,teaching.3,teaching,The green circle,,
11495,NA,break,html-button-response,6,60780,0.0-6.0,80r5f2wr3j,no training,,"<p style='text-align:center'>Now, let's see how <b>you</b> use <i>wug</i>!</p> <p style='text-align:center'> You will see two animations but only one of them is visible, the other hidden.  Your task is to decide whether the sentence you will see describes the visible animation or the hidden animation. You should choose the hidden scenario if you consider the visible one inappropriate given the sentence you will see. </p>",0,,,,,
9372,NA,,html-button-delay-response,7,70154,0.0-7.0,80r5f2wr3j,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='wug1'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,1,testing.1,testing,The green circle,does not wug.,AB
7366,NA,,html-button-delay-response,8,78025,0.0-8.0,80r5f2wr3j,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='wug2'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.2,testing,The green circle,wugs.,AB
6223,NA,,html-button-delay-response,9,84752,0.0-9.0,80r5f2wr3j,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='wug4b'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,1,testing.4,testing,The green circle,wugs.,notAB
7054,NA,,html-button-delay-response,10,92319,0.0-10.0,80r5f2wr3j,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='wug3b'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.3,testing,The green circle,does not wug.,notAB
8144,NA,,html-button-delay-response,11,100966,0.0-11.0,80r5f2wr3j,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='dot4'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.8,testing,The green circle,does not wug.,AnotB
5160,NA,,html-button-delay-response,12,106628,0.0-12.0,80r5f2wr3j,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='dot1'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,1,testing.7,testing,The green circle,wugs.,AnotB
8249,NA,,html-button-delay-response,13,115380,0.0-13.0,80r5f2wr3j,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='dot2'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,1,testing.5,testing,The green circle,wugs.,AnotB
4711,NA,,html-button-delay-response,14,120595,0.0-14.0,80r5f2wr3j,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='dot4a'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.12,testing,The green circle,does not wug.,notAnotB
5223,NA,,html-button-delay-response,15,126322,0.0-15.0,80r5f2wr3j,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='dot3'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.6,testing,The green circle,does not wug.,AnotB
4921,NA,,html-button-delay-response,16,131745,0.0-16.0,80r5f2wr3j,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='dot1a'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,1,testing.11,testing,The green circle,wugs.,notAnotB
5048,NA,,html-button-delay-response,17,137297,0.0-17.0,80r5f2wr3j,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='dot2a'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,1,testing.9,testing,The green circle,wugs.,notAnotB
4655,NA,,html-button-delay-response,18,142456,0.0-18.0,80r5f2wr3j,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='dot3a'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.10,testing,The green circle,does not wug.,notAnotB
9207,NA,,html-button-delay-response,19,152167,0.0-19.0,80r5f2wr3j,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='wug1b'></div><div class='wug2b'></div><div class='dot3b'></div><div class='wug4b'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.17,testing,Every green circle,wugs.,all_true_existential
7126,NA,,html-button-delay-response,20,159798,0.0-20.0,80r5f2wr3j,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='wug1b'></div><div class='wug2b'></div><div class='wug3b'></div><div class='wug4b'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.13,testing,Every green circle,wugs.,all_true_universal
5377,NA,,html-button-delay-response,21,165677,0.0-21.0,80r5f2wr3j,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='wug1a'></div><div class='wug2b'></div><div class='wug3a'></div><div class='wug4b'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,1,testing.16,testing,None of the green circles,wugs.,none_false
6606,NA,,html-button-delay-response,22,172788,0.0-22.0,80r5f2wr3j,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='wug1b'></div><div class='wug2b'></div><div class='wug3a'></div><div class='wug4a'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,1,testing.14,testing,Every green circle,wugs.,all_false
5543,NA,,html-button-delay-response,23,178835,0.0-23.0,80r5f2wr3j,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='dot1a'></div><div class='dot2a'></div><div class='dot3b'></div><div class='dot4b'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.19,testing,None of the green circles,wugs.,none_true_no_projection
5354,NA,,html-button-delay-response,24,184693,0.0-24.0,80r5f2wr3j,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='wug1a'></div><div class='dot2a'></div><div class='wug3a'></div><div class='wug4a'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.18,testing,None of the green circles,wugs.,none_true_existential
4869,NA,,html-button-delay-response,25,190067,0.0-25.0,80r5f2wr3j,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='wug1a'></div><div class='wug2a'></div><div class='wug3a'></div><div class='wug4a'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.15,testing,None of the green circles,wugs.,none_true_universal
4688,NA,,html-button-delay-response,26,195257,0.0-26.0,80r5f2wr3j,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='dot7'></div><div class='dot8'></div><div class='dot5'></div><div class='dot6'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.20,testing,Every green circles,wugs.,all_true_no_projection
24092,2+ug,demo.1,survey-dropdown,27,219856,0.0-27.0,80r5f2wr3j,no training,,,,,,,,
24092,none,demo.2,survey-dropdown,27,219856,0.0-27.0,80r5f2wr3j,no training,,,,,,,,
24092,female,demo.3,survey-dropdown,27,219856,0.0-27.0,80r5f2wr3j,no training,,,,,,,,
24092,45-54,demo.4,survey-dropdown,27,219856,0.0-27.0,80r5f2wr3j,no training,,,,,,,,
6980,5e370018a976896814279e0a,ProlificID,survey-text,0,6982,0.0-0.0,cavvpzo7gs,no training,,,,,,,,
1306,NA,instructions,instructions,1,8289,0.0-1.0,cavvpzo7gs,no training,"[{""page_index"":0,""viewing_time"":1306}]",,,,,,,
9275,NA,,html-button-delay-response,2,17566,0.0-2.0,cavvpzo7gs,no training,,<div class='container'><div class='ball_test'><div class='redline'></div> <div class='wug2'></div></div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,teaching.2,teaching,The green circle,,
